,응시기간,시험명,학년, 응시일자,전체,국어,영어,수학,과학,사회,역사
27,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-30 00:00:00,276,25,29.0,94.0,,90.0,38.0
28,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-30 00:00:00,351,68,79.0,88.0,,45.0,71.0
29,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-30 00:00:00,86,86,0.0,0.0,,0.0,0.0
30,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-30 00:00:00,79,68,11.0,0.0,,0.0,
31,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-30 00:00:00,205,93,58.0,9.0,,45.0,0.0
32,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-30 00:00:00,75,75,0.0,0.0,,0.0,0.0
33,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-01 00:00:00,163,29,22.0,41.0,,71.0,
34,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-01 00:00:00,195,68,79.0,18.0,,0.0,30.0
35,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-02 00:00:00,100,100,0.0,0.0,0.0,0.0,0.0
36,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-02 00:00:00,167,43,58.0,36.0,0.0,30.0,0.0
37,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-02 00:00:00,68,68,0.0,0.0,,0.0,
38,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-03 00:00:00,401,93,86.0,100.0,,61.0,61.0
39,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-03 00:00:00,105,50,22.0,18.0,0.0,0.0,15.0
40,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-03 00:00:00,55,0,40.0,0.0,,15.0,
41,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-03 00:00:00,364,68,65.0,57.0,90.0,38.0,46.0
42,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-04 00:00:00,210,36,93.0,43.0,,38.0,
43,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-04 00:00:00,95,22,29.0,14.0,15.0,15.0,0.0
44,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-04 00:00:00,184,22,29.0,27.0,23.0,30.0,53.0
45,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-04 00:00:00,165,40,40.0,14.0,15.0,0.0,56.0
46,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-04 00:00:00,193,11,86.0,66.0,,30.0,
47,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-04 00:00:00,210,29,18.0,18.0,61.0,38.0,46.0
48,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-05 00:00:00,365,93,93.0,100.0,,56.0,23.0
49,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-05 00:00:00,200,36,65.0,54.0,,45.0,
50,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-05 00:00:00,371,75,100.0,94.0,23.0,79.0,
51,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-05 00:00:00,400,93,29.0,74.0,48.0,56.0,100.0
52,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-05 00:00:00,425,65,93.0,94.0,56.0,38.0,79.0
53,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-05 00:00:00,155,40,22.0,18.0,45.0,30.0,
54,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-05 00:00:00,369,93,79.0,60.0,33.0,33.0,71.0
55,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-05 00:00:00,51,29,22.0,0.0,0.0,0.0,0.0
56,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-06 00:00:00,290,43,51.0,27.0,45.0,71.0,53.0
57,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-06 00:00:00,235,72,86.0,77.0,0.0,0.0,
58,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-07 00:00:00,88,0,11.0,9.0,53.0,15.0,0.0
59,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-07 00:00:00,359,68,65.0,9.0,100.0,38.0,79.0
60,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-07 00:00:00,133,75,58.0,,,,
61,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-07 00:00:00,231,68,72.0,46.0,,45.0,
62,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-08 00:00:00,201,40,29.0,94.0,,38.0,
63,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-09 00:00:00,126,18,40.0,0.0,,45.0,23.0
64,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-09 00:00:00,144,47,51.0,46.0,0.0,0.0,0.0
65,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-10 00:00:00,459,75,61.0,77.0,100.0,67.0,79.0
66,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-10 00:00:00,219,0,33.0,57.0,61.0,15.0,53.0
67,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-10 00:00:00,215,79,58.0,55.0,,23.0,
68,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-10 00:00:00,429,93,93.0,57.0,53.0,100.0,33.0
69,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,205,54,65.0,71.0,,15.0,
70,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,363,75,93.0,60.0,82.0,53.0,
71,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,246,50,22.0,37.0,61.0,38.0,38.0
72,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,54,54,0.0,0.0,0.0,0.0,0.0
73,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,165,36,54.0,60.0,,15.0,
74,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,327,25,65.0,23.0,100.0,53.0,61.0
75,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,204,36,47.0,60.0,,61.0,
76,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,191,47,36.0,60.0,,48.0,
77,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,201,75,11.0,14.0,,45.0,56.0
78,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-11 00:00:00,197,61,0.0,23.0,67.0,46.0,
79,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,295,68,54.0,94.0,,79.0,
80,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,219,25,58.0,14.0,61.0,46.0,15.0
81,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,377,54,100.0,55.0,48.0,30.0,90.0
82,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,203,61,29.0,42.0,,71.0,
83,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,218,50,29.0,23.0,63.0,15.0,38.0
84,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,43,43,0.0,0.0,0.0,0.0,0.0
85,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,25,25,0.0,0.0,0.0,0.0,0.0
86,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,206,65,65.0,46.0,,30.0,
87,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-12 00:00:00,527,93,93.0,82.0,100.0,69.0,90.0
88,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,297,75,36.0,32.0,53.0,30.0,71.0
89,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,163,36,29.0,37.0,,61.0,
90,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,278,75,61.0,94.0,0.0,48.0,0.0
91,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,243,36,29.0,41.0,30.0,46.0,61.0
92,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,278,79,54.0,37.0,45.0,63.0,
93,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,201,29,36.0,14.0,38.0,38.0,46.0
94,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,457,86,79.0,60.0,71.0,61.0,100.0
95,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,260,61,40.0,23.0,45.0,45.0,46.0
96,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,445,93,47.0,88.0,79.0,56.0,82.0
97,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,218,50,58.0,9.0,30.0,15.0,56.0
98,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,344,93,54.0,37.0,53.0,69.0,38.0
99,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,61,61,0.0,0.0,0.0,0.0,0.0
100,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,374,79,93.0,66.0,45.0,30.0,61.0
101,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,129,75,54.0,0.0,,0.0,0.0
102,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,209,40,54.0,62.0,,53.0,
103,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-13 00:00:00,133,72,61.0,,,,
104,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,252,63,63.0,63.0,,63.0,
105,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,302,93,93.0,68.0,,48.0,
106,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,205,54,11.0,18.0,61.0,15.0,46.0
107,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,212,36,29.0,18.0,53.0,38.0,38.0
108,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,125,50,0.0,14.0,,38.0,23.0
109,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,335,86,79.0,88.0,,82.0,
110,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,384,86,43.0,51.0,79.0,46.0,79.0
111,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,345,93,93.0,88.0,,71.0,
112,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-14 00:00:00,155,43,40.0,27.0,,45.0,
113,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-15 00:00:00,51,51,0.0,0.0,0.0,0.0,0.0
114,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-15 00:00:00,248,75,65.0,32.0,53.0,23.0,
115,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-15 00:00:00,229,29,29.0,41.0,69.0,61.0,
116,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-15 00:00:00,280,68,54.0,57.0,30.0,71.0,
117,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-15 00:00:00,485,79,93.0,60.0,100.0,90.0,63.0
118,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-15 00:00:00,237,75,18.0,45.0,46.0,53.0,
119,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-15 00:00:00,266,68,79.0,51.0,38.0,30.0,0.0
120,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,286,86,11.0,37.0,53.0,30.0,69.0
121,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,216,50,54.0,82.0,,30.0,
122,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,232,75,65.0,46.0,,46.0,
123,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,31,0,22.0,9.0,,0.0,
124,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,399,93,40.0,62.0,79.0,79.0,46.0
125,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,272,75,79.0,57.0,,61.0,
126,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,200,25,72.0,65.0,,38.0,
127,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,143,43,100.0,0.0,0.0,0.0,
128,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,142,36,51.0,55.0,,0.0,
129,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-16 00:00:00,394,75,36.0,34.0,90.0,90.0,69.0
130,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-17 00:00:00,364,93,100.0,100.0,,71.0,
131,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-17 00:00:00,38,0,29.0,9.0,,0.0,
132,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-17 00:00:00,219,75,68.0,23.0,,53.0,
133,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-17 00:00:00,86,86,0.0,0.0,,0.0,
134,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-17 00:00:00,153,54,18.0,36.0,,45.0,
135,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-17 00:00:00,58,58,0.0,0.0,,0.0,
136,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-17 00:00:00,267,75,72.0,74.0,,46.0,
137,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,272,68,61.0,49.0,71.0,23.0,
138,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,219,11,75.0,80.0,,53.0,
139,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,204,61,40.0,65.0,,38.0,
140,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,334,75,18.0,65.0,82.0,15.0,79.0
141,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,93,93,0.0,0.0,0.0,0.0,
142,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,112,61,51.0,0.0,,0.0,0.0
143,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,428,93,93.0,94.0,79.0,69.0,
144,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,72,43,11.0,18.0,0.0,0.0,0.0
145,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,196,61,58.0,32.0,,30.0,15.0
146,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,133,36,22.0,14.0,,38.0,23.0
147,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,29,29,0.0,0.0,0.0,0.0,0.0
148,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,292,40,47.0,88.0,61.0,56.0,
149,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,282,29,79.0,88.0,48.0,38.0,0.0
150,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,450,75,65.0,77.0,90.0,53.0,90.0
151,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-18 00:00:00,193,72,40.0,28.0,,53.0,
152,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,100,29,11.0,45.0,15.0,0.0,0.0
153,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,122,75,47.0,0.0,0.0,0.0,
154,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,141,47,22.0,72.0,,0.0,
155,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,202,79,36.0,57.0,,30.0,
156,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,126,79,47.0,0.0,,0.0,
157,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,306,100,79.0,82.0,,45.0,
158,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,296,93,86.0,72.0,15.0,30.0,
159,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,213,50,40.0,52.0,,71.0,
160,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,337,33,68.0,14.0,82.0,79.0,61.0
161,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,173,29,11.0,9.0,48.0,53.0,23.0
162,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,143,29,22.0,9.0,53.0,15.0,15.0
163,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,72,29,43.0,0.0,0.0,0.0,0.0
164,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,202,75,29.0,23.0,45.0,15.0,15.0
165,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,248,86,79.0,60.0,,23.0,
166,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,200,47,36.0,57.0,30.0,30.0,0.0
167,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-19 00:00:00,216,79,43.0,41.0,,53.0,
168,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,296,29,100.0,66.0,,48.0,53.0
169,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,234,75,0.0,27.0,48.0,61.0,23.0
170,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,498,93,100.0,54.0,61.0,100.0,90.0
171,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,352,54,36.0,82.0,71.0,61.0,48.0
172,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,311,65,79.0,88.0,,79.0,
173,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,320,61,65.0,48.0,79.0,67.0,
174,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,252,63,63.0,63.0,,63.0,
175,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,167,22,72.0,50.0,,23.0,
176,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,306,75,58.0,37.0,61.0,45.0,30.0
177,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,410,93,47.0,61.0,100.0,53.0,56.0
178,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,416,68,93.0,88.0,67.0,100.0,
179,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,179,50,54.0,60.0,,15.0,
180,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,91,58,33.0,0.0,0.0,0.0,0.0
181,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,227,93,11.0,18.0,30.0,30.0,45.0
182,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,240,79,65.0,14.0,,82.0,
183,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,65,65,0.0,0.0,,0.0,
184,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,339,47,11.0,57.0,100.0,63.0,61.0
185,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,229,50,51.0,52.0,38.0,38.0,
186,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,250,29,79.0,71.0,,71.0,
187,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,514,93,79.0,94.0,79.0,90.0,79.0
188,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,61,61,0.0,0.0,0.0,0.0,
189,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,256,40,36.0,41.0,45.0,38.0,56.0
190,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,302,40,18.0,54.0,48.0,63.0,79.0
191,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,166,50,18.0,60.0,,38.0,
192,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,213,100,43.0,32.0,,38.0,
193,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-20 00:00:00,276,72,29.0,43.0,48.0,38.0,46.0
194,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-21 00:00:00,271,25,18.0,55.0,45.0,38.0,90.0
195,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-21 00:00:00,461,93,93.0,68.0,48.0,69.0,90.0
196,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-21 00:00:00,302,54,68.0,94.0,48.0,38.0,
197,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-21 00:00:00,314,68,36.0,48.0,71.0,38.0,53.0
198,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-21 00:00:00,238,93,47.0,68.0,,30.0,
199,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-21 00:00:00,417,47,79.0,57.0,71.0,63.0,100.0
200,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-22 00:00:00,184,29,79.0,76.0,,0.0,
201,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-22 00:00:00,314,61,54.0,32.0,45.0,53.0,69.0
202,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-22 00:00:00,354,68,18.0,41.0,100.0,48.0,79.0
203,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-23 00:00:00,433,61,79.0,65.0,90.0,38.0,100.0
204,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-23 00:00:00,133,0,11.0,38.0,23.0,61.0,0.0
205,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-23 00:00:00,86,86,0.0,0.0,0.0,0.0,0.0
206,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-23 00:00:00,409,58,100.0,88.0,69.0,71.0,23.0
207,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-23 00:00:00,162,29,29.0,36.0,15.0,38.0,15.0
208,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-23 00:00:00,424,93,72.0,71.0,71.0,61.0,56.0
209,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-23 00:00:00,262,43,68.0,88.0,,63.0,
210,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,298,75,65.0,60.0,45.0,53.0,
211,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,357,61,47.0,60.0,82.0,61.0,46.0
212,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,272,36,86.0,94.0,,56.0,
213,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,277,75,93.0,71.0,,38.0,
214,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,278,61,40.0,18.0,53.0,45.0,61.0
215,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,304,54,40.0,18.0,90.0,46.0,56.0
216,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,494,93,86.0,100.0,79.0,90.0,46.0
217,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,269,72,22.0,9.0,90.0,61.0,15.0
218,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,56,18,0.0,0.0,,38.0,
219,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,43,43,0.0,0.0,0.0,0.0,0.0
220,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,388,43,86.0,46.0,71.0,71.0,71.0
221,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,295,86,58.0,88.0,,63.0,
222,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,423,47,65.0,94.0,90.0,56.0,71.0
223,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-24 00:00:00,382,68,86.0,47.0,82.0,38.0,61.0
224,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-25 00:00:00,93,93,0.0,0.0,0.0,0.0,0.0
225,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-25 00:00:00,332,50,100.0,55.0,45.0,15.0,67.0
226,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-25 00:00:00,220,61,18.0,27.0,53.0,23.0,38.0
227,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-25 00:00:00,165,79,86.0,0.0,0.0,0.0,
228,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-25 00:00:00,143,50,93.0,0.0,,0.0,
229,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-25 00:00:00,343,22,79.0,94.0,100.0,48.0,0.0
230,2021. 12 ~2022. 12,AI진단평가,중2,2022-01-25 00:00:00,415,68,54.0,76.0,56.0,100.0,61.0
